index,StartTime,EndTime,Lat,Long,Count
0,05:01 PM - 30 Sep 2016,06:01 PM - 30 Sep 2016,-4.32972,15.31497,3
1,05:01 PM - 30 Sep 2016,06:01 PM - 30 Sep 2016,11.99997,8.520037,6
2,05:01 PM - 30 Sep 2016,06:01 PM - 30 Sep 2016,15.58807,32.53417,3
3,05:01 PM - 30 Sep 2016,06:01 PM - 30 Sep 2016,21.19998,72.84003,1
4,05:01 PM - 30 Sep 2016,06:01 PM - 30 Sep 2016,26.92113,75.80998,3
5,05:01 PM - 30 Sep 2016,06:01 PM - 30 Sep 2016,30.58003,114.27,1
6,05:01 PM - 30 Sep 2016,06:01 PM - 30 Sep 2016,32.05001,118.7799,1
7,05:01 PM - 30 Sep 2016,06:01 PM - 30 Sep 2016,33.33864,44.39386,4
8,05:01 PM - 30 Sep 2016,06:01 PM - 30 Sep 2016,34.51669,69.18326,1
9,05:01 PM - 30 Sep 2016,06:01 PM - 30 Sep 2016,39.13002,117.2,2
10,06:01 PM - 30 Sep 2016,07:01 PM - 30 Sep 2016,5.319996,-4.04004,4
11,06:01 PM - 30 Sep 2016,07:01 PM - 30 Sep 2016,9.03331,38.7,1
12,06:01 PM - 30 Sep 2016,07:01 PM - 30 Sep 2016,11.99997,8.520037,1
13,06:01 PM - 30 Sep 2016,07:01 PM - 30 Sep 2016,21.19998,72.84003,3
14,06:01 PM - 30 Sep 2016,07:01 PM - 30 Sep 2016,26.92113,75.80998,2
15,06:01 PM - 30 Sep 2016,07:01 PM - 30 Sep 2016,30.58003,114.27,1
16,06:01 PM - 30 Sep 2016,07:01 PM - 30 Sep 2016,32.05001,118.7799,2
17,06:01 PM - 30 Sep 2016,07:01 PM - 30 Sep 2016,33.33864,44.39386,1
18,06:01 PM - 30 Sep 2016,07:01 PM - 30 Sep 2016,34.27502,108.8949,2
19,06:01 PM - 30 Sep 2016,07:01 PM - 30 Sep 2016,34.51669,69.18326,2
20,06:01 PM - 30 Sep 2016,07:01 PM - 30 Sep 2016,37.87501,112.545,1
21,06:01 PM - 30 Sep 2016,07:01 PM - 30 Sep 2016,41.80497,123.4499,1
22,07:01 PM - 30 Sep 2016,08:01 PM - 30 Sep 2016,-8.83828,13.23442,1
23,07:01 PM - 30 Sep 2016,08:01 PM - 30 Sep 2016,-4.32972,15.31497,1
24,07:01 PM - 30 Sep 2016,08:01 PM - 30 Sep 2016,5.319996,-4.04004,1
25,07:01 PM - 30 Sep 2016,08:01 PM - 30 Sep 2016,11.99997,8.520037,2
26,07:01 PM - 30 Sep 2016,08:01 PM - 30 Sep 2016,21.19998,72.84003,1
27,07:01 PM - 30 Sep 2016,08:01 PM - 30 Sep 2016,26.45999,80.31999,4
28,07:01 PM - 30 Sep 2016,08:01 PM - 30 Sep 2016,30.58003,114.27,3
29,07:01 PM - 30 Sep 2016,08:01 PM - 30 Sep 2016,32.05001,118.7799,3
30,07:01 PM - 30 Sep 2016,08:01 PM - 30 Sep 2016,33.33864,44.39386,2
31,07:01 PM - 30 Sep 2016,08:01 PM - 30 Sep 2016,37.87501,112.545,1
32,07:01 PM - 30 Sep 2016,08:01 PM - 30 Sep 2016,39.01943,125.7546,11
33,07:01 PM - 30 Sep 2016,08:01 PM - 30 Sep 2016,41.80497,123.4499,1
34,08:01 PM - 30 Sep 2016,09:01 PM - 30 Sep 2016,-8.83828,13.23442,2
35,08:01 PM - 30 Sep 2016,09:01 PM - 30 Sep 2016,9.03331,38.7,2
36,08:01 PM - 30 Sep 2016,09:01 PM - 30 Sep 2016,21.19998,72.84003,2
37,08:01 PM - 30 Sep 2016,09:01 PM - 30 Sep 2016,26.45999,80.31999,1
38,08:01 PM - 30 Sep 2016,09:01 PM - 30 Sep 2016,26.92113,75.80998,5
39,08:01 PM - 30 Sep 2016,09:01 PM - 30 Sep 2016,29.56497,106.5949,4
40,08:01 PM - 30 Sep 2016,09:01 PM - 30 Sep 2016,30.67,104.07,3
41,08:01 PM - 30 Sep 2016,09:01 PM - 30 Sep 2016,34.51669,69.18326,4
42,08:01 PM - 30 Sep 2016,09:01 PM - 30 Sep 2016,37.87501,112.545,1
43,08:01 PM - 30 Sep 2016,09:01 PM - 30 Sep 2016,39.13002,117.2,1
44,09:01 PM - 30 Sep 2016,10:01 PM - 30 Sep 2016,-8.83828,13.23442,2
45,09:01 PM - 30 Sep 2016,10:01 PM - 30 Sep 2016,-4.32972,15.31497,5
46,09:01 PM - 30 Sep 2016,10:01 PM - 30 Sep 2016,15.58807,32.53417,2
47,09:01 PM - 30 Sep 2016,10:01 PM - 30 Sep 2016,21.19998,72.84003,3
48,09:01 PM - 30 Sep 2016,10:01 PM - 30 Sep 2016,26.92113,75.80998,6
49,09:01 PM - 30 Sep 2016,10:01 PM - 30 Sep 2016,29.56497,106.5949,9
50,09:01 PM - 30 Sep 2016,10:01 PM - 30 Sep 2016,30.67,104.07,1
51,09:01 PM - 30 Sep 2016,10:01 PM - 30 Sep 2016,32.05001,118.7799,6
52,09:01 PM - 30 Sep 2016,10:01 PM - 30 Sep 2016,33.33864,44.39386,1
53,09:01 PM - 30 Sep 2016,10:01 PM - 30 Sep 2016,37.87501,112.545,1
54,09:01 PM - 30 Sep 2016,10:01 PM - 30 Sep 2016,39.01943,125.7546,1
55,09:01 PM - 30 Sep 2016,10:01 PM - 30 Sep 2016,39.13002,117.2,1
56,10:01 PM - 30 Sep 2016,11:01 PM - 30 Sep 2016,9.03331,38.7,1
57,10:01 PM - 30 Sep 2016,11:01 PM - 30 Sep 2016,11.99997,8.520037,2
58,10:01 PM - 30 Sep 2016,11:01 PM - 30 Sep 2016,15.58807,32.53417,7
59,10:01 PM - 30 Sep 2016,11:01 PM - 30 Sep 2016,21.19998,72.84003,7
60,10:01 PM - 30 Sep 2016,11:01 PM - 30 Sep 2016,22.32999,91.79996,1
61,10:01 PM - 30 Sep 2016,11:01 PM - 30 Sep 2016,26.92113,75.80998,3
62,10:01 PM - 30 Sep 2016,11:01 PM - 30 Sep 2016,29.56497,106.5949,4
63,10:01 PM - 30 Sep 2016,11:01 PM - 30 Sep 2016,30.58003,114.27,1
64,10:01 PM - 30 Sep 2016,11:01 PM - 30 Sep 2016,32.05001,118.7799,2
65,10:01 PM - 30 Sep 2016,11:01 PM - 30 Sep 2016,33.33864,44.39386,1
66,10:01 PM - 30 Sep 2016,11:01 PM - 30 Sep 2016,34.51669,69.18326,1
67,10:01 PM - 30 Sep 2016,11:01 PM - 30 Sep 2016,37.87501,112.545,1
68,10:01 PM - 30 Sep 2016,11:01 PM - 30 Sep 2016,43.865,125.3399,1
69,11:01 PM - 30 Sep 2016,12:01 AM - 01 Oct 2016,-4.32972,15.31497,2
70,11:01 PM - 30 Sep 2016,12:01 AM - 01 Oct 2016,5.319996,-4.04004,3
71,11:01 PM - 30 Sep 2016,12:01 AM - 01 Oct 2016,11.99997,8.520037,7
72,11:01 PM - 30 Sep 2016,12:01 AM - 01 Oct 2016,15.58807,32.53417,7
73,11:01 PM - 30 Sep 2016,12:01 AM - 01 Oct 2016,16.78335,96.16667,3
74,11:01 PM - 30 Sep 2016,12:01 AM - 01 Oct 2016,21.19998,72.84003,3
75,11:01 PM - 30 Sep 2016,12:01 AM - 01 Oct 2016,26.92113,75.80998,4
76,11:01 PM - 30 Sep 2016,12:01 AM - 01 Oct 2016,29.56497,106.5949,1
77,11:01 PM - 30 Sep 2016,12:01 AM - 01 Oct 2016,30.58003,114.27,1
78,11:01 PM - 30 Sep 2016,12:01 AM - 01 Oct 2016,30.67,104.07,1
79,11:01 PM - 30 Sep 2016,12:01 AM - 01 Oct 2016,32.05001,118.7799,1
80,11:01 PM - 30 Sep 2016,12:01 AM - 01 Oct 2016,33.33864,44.39386,1
81,11:01 PM - 30 Sep 2016,12:01 AM - 01 Oct 2016,37.87501,112.545,1
82,12:01 AM - 01 Oct 2016,01:01 AM - 01 Oct 2016,-4.32972,15.31497,1
83,12:01 AM - 01 Oct 2016,01:01 AM - 01 Oct 2016,5.319996,-4.04004,3
84,12:01 AM - 01 Oct 2016,01:01 AM - 01 Oct 2016,11.99997,8.520037,8
85,12:01 AM - 01 Oct 2016,01:01 AM - 01 Oct 2016,15.58807,32.53417,4
86,12:01 AM - 01 Oct 2016,01:01 AM - 01 Oct 2016,16.78335,96.16667,2
87,12:01 AM - 01 Oct 2016,01:01 AM - 01 Oct 2016,21.19998,72.84003,2
88,12:01 AM - 01 Oct 2016,01:01 AM - 01 Oct 2016,22.32999,91.79996,1
89,12:01 AM - 01 Oct 2016,01:01 AM - 01 Oct 2016,26.45999,80.31999,1
90,12:01 AM - 01 Oct 2016,01:01 AM - 01 Oct 2016,26.92113,75.80998,3
91,12:01 AM - 01 Oct 2016,01:01 AM - 01 Oct 2016,29.56497,106.5949,1
92,12:01 AM - 01 Oct 2016,01:01 AM - 01 Oct 2016,30.58003,114.27,3
93,12:01 AM - 01 Oct 2016,01:01 AM - 01 Oct 2016,30.67,104.07,1
94,12:01 AM - 01 Oct 2016,01:01 AM - 01 Oct 2016,32.05001,118.7799,3
95,12:01 AM - 01 Oct 2016,01:01 AM - 01 Oct 2016,33.33864,44.39386,2
96,12:01 AM - 01 Oct 2016,01:01 AM - 01 Oct 2016,34.51669,69.18326,1
97,12:01 AM - 01 Oct 2016,01:01 AM - 01 Oct 2016,39.13002,117.2,1
98,01:01 AM - 01 Oct 2016,02:01 AM - 01 Oct 2016,-8.83828,13.23442,7
99,01:01 AM - 01 Oct 2016,02:01 AM - 01 Oct 2016,-4.32972,15.31497,8
100,01:01 AM - 01 Oct 2016,02:01 AM - 01 Oct 2016,5.319996,-4.04004,7
101,01:01 AM - 01 Oct 2016,02:01 AM - 01 Oct 2016,11.99997,8.520037,5
102,01:01 AM - 01 Oct 2016,02:01 AM - 01 Oct 2016,15.58807,32.53417,8
103,01:01 AM - 01 Oct 2016,02:01 AM - 01 Oct 2016,16.78335,96.16667,2
104,01:01 AM - 01 Oct 2016,02:01 AM - 01 Oct 2016,22.32999,91.79996,3
105,01:01 AM - 01 Oct 2016,02:01 AM - 01 Oct 2016,26.92113,75.80998,4
106,01:01 AM - 01 Oct 2016,02:01 AM - 01 Oct 2016,29.56497,106.5949,4
107,01:01 AM - 01 Oct 2016,02:01 AM - 01 Oct 2016,30.58003,114.27,2
108,01:01 AM - 01 Oct 2016,02:01 AM - 01 Oct 2016,32.05001,118.7799,3
109,01:01 AM - 01 Oct 2016,02:01 AM - 01 Oct 2016,33.33864,44.39386,3
110,01:01 AM - 01 Oct 2016,02:01 AM - 01 Oct 2016,34.27502,108.8949,1
111,01:01 AM - 01 Oct 2016,02:01 AM - 01 Oct 2016,34.51669,69.18326,4
112,01:01 AM - 01 Oct 2016,02:01 AM - 01 Oct 2016,39.13002,117.2,2
113,01:01 AM - 01 Oct 2016,02:01 AM - 01 Oct 2016,41.80497,123.4499,1
114,02:01 AM - 01 Oct 2016,03:01 AM - 01 Oct 2016,-8.83828,13.23442,4
115,02:01 AM - 01 Oct 2016,03:01 AM - 01 Oct 2016,5.319996,-4.04004,5
116,02:01 AM - 01 Oct 2016,03:01 AM - 01 Oct 2016,9.03331,38.7,1
117,02:01 AM - 01 Oct 2016,03:01 AM - 01 Oct 2016,11.99997,8.520037,4
118,02:01 AM - 01 Oct 2016,03:01 AM - 01 Oct 2016,15.58807,32.53417,8
119,02:01 AM - 01 Oct 2016,03:01 AM - 01 Oct 2016,16.78335,96.16667,4
