StartTime,EndTIme,Count
05:01 PM - 30 Sep 2016,06:01 PM - 30 Sep 2016,25
06:01 PM - 30 Sep 2016,07:01 PM - 30 Sep 2016,21
07:01 PM - 30 Sep 2016,08:01 PM - 30 Sep 2016,31
08:01 PM - 30 Sep 2016,09:01 PM - 30 Sep 2016,25
09:01 PM - 30 Sep 2016,10:01 PM - 30 Sep 2016,38
10:01 PM - 30 Sep 2016,11:01 PM - 30 Sep 2016,32
11:01 PM - 30 Sep 2016,12:01 AM - 01 Oct 2016,35
12:01 AM - 01 Oct 2016,01:01 AM - 01 Oct 2016,37
01:01 AM - 01 Oct 2016,02:01 AM - 01 Oct 2016,64
02:01 AM - 01 Oct 2016,03:01 AM - 01 Oct 2016,47
03:01 AM - 01 Oct 2016,04:01 AM - 01 Oct 2016,86
04:01 AM - 01 Oct 2016,05:01 AM - 01 Oct 2016,96
05:01 AM - 01 Oct 2016,06:01 AM - 01 Oct 2016,95
06:01 AM - 01 Oct 2016,07:01 AM - 01 Oct 2016,92
07:01 AM - 01 Oct 2016,08:01 AM - 01 Oct 2016,119
08:01 AM - 01 Oct 2016,09:01 AM - 01 Oct 2016,183
09:01 AM - 01 Oct 2016,10:01 AM - 01 Oct 2016,229
10:01 AM - 01 Oct 2016,11:01 AM - 01 Oct 2016,255
11:01 AM - 01 Oct 2016,12:01 PM - 01 Oct 2016,229
12:01 PM - 01 Oct 2016,01:01 PM - 01 Oct 2016,267
01:01 PM - 01 Oct 2016,02:01 PM - 01 Oct 2016,358
02:01 PM - 01 Oct 2016,03:01 PM - 01 Oct 2016,520
03:01 PM - 01 Oct 2016,04:01 PM - 01 Oct 2016,957
04:01 PM - 01 Oct 2016,05:01 PM - 01 Oct 2016,3305
05:01 PM - 01 Oct 2016,06:01 PM - 01 Oct 2016,21
06:01 PM - 01 Oct 2016,07:01 PM - 01 Oct 2016,37
07:01 PM - 01 Oct 2016,08:01 PM - 01 Oct 2016,23
08:01 PM - 01 Oct 2016,09:01 PM - 01 Oct 2016,22
09:01 PM - 01 Oct 2016,10:01 PM - 01 Oct 2016,23
10:01 PM - 01 Oct 2016,11:01 PM - 01 Oct 2016,19
11:01 PM - 01 Oct 2016,12:01 AM - 02 Oct 2016,49
12:01 AM - 02 Oct 2016,01:01 AM - 02 Oct 2016,40
01:01 AM - 02 Oct 2016,02:01 AM - 02 Oct 2016,42
02:01 AM - 02 Oct 2016,03:01 AM - 02 Oct 2016,43
03:01 AM - 02 Oct 2016,04:01 AM - 02 Oct 2016,65
04:01 AM - 02 Oct 2016,05:01 AM - 02 Oct 2016,76
05:01 AM - 02 Oct 2016,06:01 AM - 02 Oct 2016,106
06:01 AM - 02 Oct 2016,07:01 AM - 02 Oct 2016,138
07:01 AM - 02 Oct 2016,08:01 AM - 02 Oct 2016,137
08:01 AM - 02 Oct 2016,09:01 AM - 02 Oct 2016,216
09:01 AM - 02 Oct 2016,10:01 AM - 02 Oct 2016,183
10:01 AM - 02 Oct 2016,11:01 AM - 02 Oct 2016,275
11:01 AM - 02 Oct 2016,12:01 PM - 02 Oct 2016,380
12:01 PM - 02 Oct 2016,01:01 PM - 02 Oct 2016,331
01:01 PM - 02 Oct 2016,02:01 PM - 02 Oct 2016,337
02:01 PM - 02 Oct 2016,03:01 PM - 02 Oct 2016,469
03:01 PM - 02 Oct 2016,04:01 PM - 02 Oct 2016,1047
04:01 PM - 02 Oct 2016,05:01 PM - 02 Oct 2016,4065
05:01 PM - 02 Oct 2016,06:01 PM - 02 Oct 2016,18
06:01 PM - 02 Oct 2016,07:01 PM - 02 Oct 2016,22
07:01 PM - 02 Oct 2016,08:01 PM - 02 Oct 2016,14
08:01 PM - 02 Oct 2016,09:01 PM - 02 Oct 2016,39
09:01 PM - 02 Oct 2016,10:01 PM - 02 Oct 2016,32
10:01 PM - 02 Oct 2016,11:01 PM - 02 Oct 2016,30
11:01 PM - 02 Oct 2016,12:01 AM - 03 Oct 2016,45
12:01 AM - 03 Oct 2016,01:01 AM - 03 Oct 2016,66
01:01 AM - 03 Oct 2016,02:01 AM - 03 Oct 2016,70
02:01 AM - 03 Oct 2016,03:01 AM - 03 Oct 2016,94
03:01 AM - 03 Oct 2016,04:01 AM - 03 Oct 2016,98
04:01 AM - 03 Oct 2016,05:01 AM - 03 Oct 2016,100
05:01 AM - 03 Oct 2016,06:01 AM - 03 Oct 2016,128
06:01 AM - 03 Oct 2016,07:01 AM - 03 Oct 2016,131
07:01 AM - 03 Oct 2016,08:01 AM - 03 Oct 2016,196
08:01 AM - 03 Oct 2016,09:01 AM - 03 Oct 2016,231
09:01 AM - 03 Oct 2016,10:01 AM - 03 Oct 2016,212
10:01 AM - 03 Oct 2016,11:01 AM - 03 Oct 2016,256
11:01 AM - 03 Oct 2016,12:01 PM - 03 Oct 2016,206
12:01 PM - 03 Oct 2016,01:01 PM - 03 Oct 2016,279
01:01 PM - 03 Oct 2016,02:01 PM - 03 Oct 2016,396
02:01 PM - 03 Oct 2016,03:01 PM - 03 Oct 2016,528
03:01 PM - 03 Oct 2016,04:01 PM - 03 Oct 2016,1339
04:01 PM - 03 Oct 2016,05:01 PM - 03 Oct 2016,4371
05:01 PM - 03 Oct 2016,06:01 PM - 03 Oct 2016,48
06:01 PM - 03 Oct 2016,07:01 PM - 03 Oct 2016,51
07:01 PM - 03 Oct 2016,08:01 PM - 03 Oct 2016,28
08:01 PM - 03 Oct 2016,09:01 PM - 03 Oct 2016,71
09:01 PM - 03 Oct 2016,10:01 PM - 03 Oct 2016,46
10:01 PM - 03 Oct 2016,11:01 PM - 03 Oct 2016,83
11:01 PM - 03 Oct 2016,12:01 AM - 04 Oct 2016,108
12:01 AM - 04 Oct 2016,01:01 AM - 04 Oct 2016,93
01:01 AM - 04 Oct 2016,02:01 AM - 04 Oct 2016,91
02:01 AM - 04 Oct 2016,03:01 AM - 04 Oct 2016,104
03:01 AM - 04 Oct 2016,04:01 AM - 04 Oct 2016,94
04:01 AM - 04 Oct 2016,05:01 AM - 04 Oct 2016,101
05:01 AM - 04 Oct 2016,06:01 AM - 04 Oct 2016,97
06:01 AM - 04 Oct 2016,07:01 AM - 04 Oct 2016,112
07:01 AM - 04 Oct 2016,08:01 AM - 04 Oct 2016,140
08:01 AM - 04 Oct 2016,09:01 AM - 04 Oct 2016,163
09:01 AM - 04 Oct 2016,10:01 AM - 04 Oct 2016,275
10:01 AM - 04 Oct 2016,11:01 AM - 04 Oct 2016,298
11:01 AM - 04 Oct 2016,12:01 PM - 04 Oct 2016,291
12:01 PM - 04 Oct 2016,01:01 PM - 04 Oct 2016,317
01:01 PM - 04 Oct 2016,02:01 PM - 04 Oct 2016,457
02:01 PM - 04 Oct 2016,03:01 PM - 04 Oct 2016,657
03:01 PM - 04 Oct 2016,04:01 PM - 04 Oct 2016,1091
04:01 PM - 04 Oct 2016,05:01 PM - 04 Oct 2016,4078
05:01 PM - 04 Oct 2016,06:01 PM - 04 Oct 2016,24
06:01 PM - 04 Oct 2016,07:01 PM - 04 Oct 2016,30
07:01 PM - 04 Oct 2016,08:01 PM - 04 Oct 2016,24
