StartTime,EndTIme,Count
05:01 PM - 30 Sep 2016,05:01 PM - 01 Oct 2016,7146
05:01 PM - 01 Oct 2016,05:01 PM - 02 Oct 2016,8144
05:01 PM - 02 Oct 2016,05:01 PM - 03 Oct 2016,8901
05:01 PM - 03 Oct 2016,05:01 PM - 04 Oct 2016,8894
05:01 PM - 04 Oct 2016,05:01 PM - 05 Oct 2016,8321
05:01 PM - 05 Oct 2016,05:01 PM - 06 Oct 2016,7685
05:01 PM - 06 Oct 2016,05:01 PM - 07 Oct 2016,8651
05:01 PM - 07 Oct 2016,05:01 PM - 08 Oct 2016,8280
05:01 PM - 08 Oct 2016,05:01 PM - 09 Oct 2016,8703
05:01 PM - 09 Oct 2016,05:01 PM - 10 Oct 2016,9638
05:01 PM - 10 Oct 2016,05:01 PM - 11 Oct 2016,8386
05:01 PM - 11 Oct 2016,05:01 PM - 12 Oct 2016,6660
05:01 PM - 12 Oct 2016,05:01 PM - 13 Oct 2016,8443
05:01 PM - 13 Oct 2016,05:01 PM - 14 Oct 2016,8129
05:01 PM - 14 Oct 2016,05:01 PM - 15 Oct 2016,7558
05:01 PM - 15 Oct 2016,05:01 PM - 16 Oct 2016,9211
05:01 PM - 16 Oct 2016,05:01 PM - 17 Oct 2016,8451
05:01 PM - 17 Oct 2016,05:01 PM - 18 Oct 2016,7421
05:01 PM - 18 Oct 2016,05:01 PM - 19 Oct 2016,7761
05:01 PM - 19 Oct 2016,05:01 PM - 20 Oct 2016,8121
05:01 PM - 20 Oct 2016,05:01 PM - 21 Oct 2016,8475
05:01 PM - 21 Oct 2016,05:01 PM - 22 Oct 2016,0
05:01 PM - 22 Oct 2016,05:01 PM - 23 Oct 2016,15913
05:01 PM - 23 Oct 2016,05:01 PM - 24 Oct 2016,13895
05:01 PM - 24 Oct 2016,05:01 PM - 25 Oct 2016,9392
05:01 PM - 25 Oct 2016,05:01 PM - 26 Oct 2016,8215
05:01 PM - 26 Oct 2016,05:01 PM - 27 Oct 2016,7409
05:01 PM - 27 Oct 2016,05:01 PM - 28 Oct 2016,8937
05:01 PM - 28 Oct 2016,05:01 PM - 29 Oct 2016,8973
