index,SourcePlatform,Lat,Long,Count
0,instagram,24.46667,54.36667,68
1,instagram,25.78761,-80.2241,20
2,instagram,35.68501,139.7514,15
3,Twitter,24.46667,54.36667,25
4,Twitter,25.78761,-80.2241,9
5,Twitter,35.68501,139.7514,43
6,swarmapp,24.46667,54.36667,3
7,swarmapp,25.78761,-80.2241,3
8,swarmapp,35.68501,139.7514,40
9,monasabat,24.46667,54.36667,1
10,kartenquiz,24.46667,54.36667,1
11,twitter,24.46667,54.36667,1
12,path,24.46667,54.36667,1
13,dlvr,25.78761,-80.2241,3
14,bit,25.78761,-80.2241,1
15,tlclatino,25.78761,-80.2241,1
16,ow,25.78761,-80.2241,1
17,4sq,35.68501,139.7514,1
18,ameblo,35.68501,139.7514,1
