UserName,UserID,@mention,Frequency
فواغي المانع,48086249.0,@auh,1
Master Ethan,51321454.0,@jazzaberry,1
Simply Abu Dhabi,1267822722.0,@DXBMediaOffice,1
Simply Abu Dhabi,1267822722.0,@mbznews,1
Simply Abu Dhabi,1267822722.0,@simplyabudhabi,1
XI,597363395.0,@tsogosun,1
م.حسن بن علاوي الشحي,391557895.0,@mubarakalkatbi,1
Kenny Blve,2870687215.0,@solacash,1
Luca Pintavalle,220075111.0,@etihadairways,1
Manar Darwish,174387985.0,@MaNarMohDarwiSH,1
Yes I Do Bridal,347889518.0,@TopalTouch,1
Yes I Do Bridal,347889518.0,@YesIDoBridal,1
Yes I Do Bridal,347889518.0,@uniqueberryart,1
Yes I Do Bridal,347889518.0,@klalaphotograph,1
Simply Abu Dhabi,1267822722.0,@emiratespalace,1
Bvlgari,77441114.0,@polwinkle,1
H I T S t a p e ®,129628680.0,@oycmiami,1
H I T S t a p e ®,129628680.0,@angelasimmons,1
bretwalda,193033489.0,@vickyzilla,1
bretwalda,193033489.0,@vickyzilla,1
Charlotte Ethel,62131700.0,@WoodTavern,1
X.IX.LXXXV,28578076.0,@Youfit,1
WDentertainmentLLC,1449552085.0,@shaun_frank,1
WDentertainmentLLC,1449552085.0,@LIVmiami,1
juice,2380974648.0,@etniesbmx,1
juice,2380974648.0,@cultcrew,1
juice,2380974648.0,@foxbmx,1
ヤット79,333978731.0,@jreast_official,1
ELNINO,227597810.0,@starbucks_j,1
infinity110,3967047372.0,@keikyu_official,1
寺旅人(てらたび)🏡願成就寺へ行こう❗,269473881.0,@jreast_official,1
あくおん@呪われ系ダンボールマン,124787944.0,@tokyu_official,1
ひょう,1035918655.0,@t_bigsight,1
seewriter,99653640.0,@jreast_official,1
とめ as さおとめたかし,113282137.0,@curry_shop_cc,1
MAP-198-15V295,480214676.0,@jreast_official,1
MAP-198-15V295,480214676.0,@jreast_official,1
トシ坊＠エイプリルフールは鳥栖戦,228662131.0,@tokyu_official,1
MAP-198-15V295,480214676.0,@jreast_official,1
マーティン➕,1945759753.0,@yanzaki1,1
カズさん＠エンヂンはV5！,73315103.0,@sotetsu_pr,1
みつあき,200438486.0,@odakyuline_info,1
Maxタメ315号⚾️,189583155.0,@jreast_official,1
Hatouto,3105147968.0,@h_line_info,1
Maxタメ315号⚾️,189583155.0,@jreast_official,1
Maxタメ315号⚾️,189583155.0,@jreast_official,1
ふぁれのぷしす☘まめちちさんのファン,46787051.0,@akiko_lawson,1
友利奈緒🍣,587552613.0,@uectokyo,1
ふぁれのぷしす☘まめちちさんのファン,46787051.0,@jreast_official,1
Tkms@0606,1798912051.0,@odakyuline_info,1
RISEL HIRO,633043456.0,@risel_asano,1
むらやまぎんのすけ,791643146.0,@tokyu_official,1
Salaryman gadgeter ,41596109.0,@m_line_info,1
零音＠26痛天見学,105546083.0,@yurikamome_info,1
しらとり🐓お引越し,2361073248.0,@jreast_official,1
ジュン＠5月までイベなし,163862538.0,@y_line_info,1
はっしー@次はノエスタ！神戸戦！,609098157.0,@tokyometro_info,1
あにお/ポケGO図鑑国内232/234,41519781.0,@keiodentetsu,1
たかはしまさひろ,126251210.0,@jreast_official,1
アスパラ@鉄垢,2847518844.0,@chiba_univ_pr,1
i enter,1876479247.0,@JaimeBlenDormir,1
infinity110,3967047372.0,@keikyu_official,1
まーしー☆®,149946725.0,@asahipress_com,1
ス  シ  ニ  ウ  ム,1516188721.0,@jreast_official,1
wakana,128930864.0,@deananddelucajp,1
たぬたぬ＠埼玉へ引っ越しマン,193213839.0,@keiodentetsu,1
伊吹　涼,78601488.0,@y_line_info,1
